N,beta,start_id,operator_energy,energy_functional,C_NN,C_DM_z,M_beta,S_VN_site1,S_VN_avg
3,0.7000000000000001,3,-0.7173094960003827,-0.6793716117895601,-0.18619496362778087,-0.1747162959759312,0.35764465545634067,0.6219670707667972,0.5897227918171742
3,0.75,0,-0.7541628224297418,-0.7223028363942167,-0.18613478039512574,-0.17884372945890684,0.35536237091890205,0.5938719033041455,0.5962367819959697
3,0.75,1,-0.7537243781645926,-0.7219671695241966,-0.18632359463726214,-0.17875249135019233,0.35507579269843315,0.5992387321763478,0.5969818179939276
3,0.75,2,-0.7542576897888595,-0.722355800852297,-0.18604271659015117,-0.17876992437448566,0.35549318169506927,0.5961975260009222,0.5959179965372788
3,0.75,3,-0.7542361708428111,-0.7223364191435628,-0.1860461801721145,-0.17874278191459228,0.35549042539831693,0.5956995798929564,0.5959182447837182
3,0.8,0,-0.7868607323387329,-0.762128252472875,-0.1883381817506333,-0.1823422864138191,0.34997910226348167,0.6119049078077691,0.6098907600298954
3,0.8,1,-0.7788989389264038,-0.7581690686424839,-0.1991613758969013,-0.19502694569716938,0.333354900623484,0.6536162103980199,0.6499319822425993
3,0.8,2,-0.7866768945636262,-0.7620026976767453,-0.18849508233504964,-0.18238901685562192,0.3497589884008991,0.6001194905693834,0.6103949130984866
3,0.8,3,-0.7516822385343073,-0.7446480081714089,-0.23617694739085282,-0.23857346076515898,0.26842303449488003,0.7896048530955179,0.7806710607318254
3,0.8500000000000001,0,-0.8177254933994729,-0.8009219891803783,-0.19469410481758487,-0.19060549645758826,0.3383540723328351,0.6417172481774782,0.6382147893945063
3,0.8500000000000001,1,-0.8178672663151401,-0.8009365407132082,-0.19422345651346604,-0.18991067486283217,0.3390787748660123,0.636997812863667,0.6364806989411516
3,0.8500000000000001,2,-0.8013240696519681,-0.7925140972439266,-0.22348634554393745,-0.2234658622373349,0.29085047925428537,0.7206309256070744,0.7393441717106306
3,0.8500000000000001,3,-0.8104588805989427,-0.7972576693278358,-0.20766214227138302,-0.20569464220684797,0.3178172922164266,0.6765943098001401,0.6847724963142942
3,0.9,0,-0.8524864424815568,-0.8415005046618,-0.19584975368298477,-0.19254324285622215,0.3347173358776601,0.6476580844142914,0.6467457414820883
3,0.9,1,-0.8531459823947312,-0.8418893872770997,-0.19439326578165553,-0.19102270820672876,0.33692784742818693,0.6414091689374504,0.6416071835795959
3,0.9,2,-0.8540649120768383,-0.8423444408489229,-0.19188463541029663,-0.1880869850198675,0.34072675921296564,0.6328895139987326,0.6325680070945296
3,0.9,3,-0.8526681152839111,-0.8416182911818584,-0.1955120506512272,-0.19220203052693416,0.3352356639530054,0.6524686219327427,0.6455294182870678
3,0.9500000000000001,0,-0.8867387737042424,-0.8817338619452361,-0.20105990113998598,-0.1991606756053169,0.32490021122507984,0.6621625167797516,0.6692087826916645
3,0.9500000000000001,1,-0.8873129347223834,-0.8821389094440594,-0.19925166877639622,-0.1973415220643774,0.3277024295604399,0.6654181907674452,0.6629248982114971
3,0.9500000000000001,2,-0.8767880915042212,-0.8768752643511581,-0.25617815982798164,-0.2634513155648246,0.22288806498171057,0.8599224161992568,0.8513983155258179
3,0.9500000000000001,3,-0.8742507437380735,-0.8755253115276006,-0.2690181783164743,-0.27812569669685566,0.1913732693336785,0.9076295528003273,0.8912102620158658
3,1.0,0,-0.923174367436485,-0.923174367436485,-0.19884259077039498,-0.19748602198329337,0.32667264959382486,0.6645764548412518,0.6652489027458727
3,1.0,1,-0.9231909580084443,-0.9231909580084443,-0.23692739825968792,-0.24148745177855444,0.2619707658683195,0.795119170000991,0.7917389033711646
3,1.0,2,-0.9230315571334511,-0.9230315571334511,-0.1986551249306233,-0.19707572744140148,0.32696662767463175,0.6557659189765721,0.6645588469807664
3,1.0,3,-0.9231866781332001,-0.9231866781332001,-0.26983165557149663,-0.2794754887869247,0.1890032699226972,0.8931413828064148,0.8943049281219838
4,0.0,0,-0.9999934913102413,-0.49999674565512053,-1.0061396160665481e-15,7.583256939058813e-14,0.5,-0.0,0.0
4,0.0,1,-0.9999970742192812,-0.49999853710964054,-9.783840404509192e-16,2.089268428401292e-13,0.5,-0.0,0.0
4,0.0,2,-0.99999773518782,-0.49999886759390993,-3.4763858458575214e-15,-1.705424538568645e-13,0.5000000000000001,-0.0,0.0
4,0.0,3,-0.9999680635105465,-0.4999840317552732,-1.1081413564539844e-14,2.593907436120122e-12,0.5,-0.0,0.0
4,0.05,0,-1.0001244963918783,-0.5275006980214642,-0.025625403161569527,-4.8637651532238996e-05,0.4987479337381601,0.013877815698026914,0.013876981998693647
4,0.05,1,-1.0001151184033015,-0.5275252244696353,-0.02563152931065523,-0.0015680012310455111,0.49873287081785916,0.014026290198286826,0.014022053090765756
4,0.05,2,-1.0001237120925937,-0.5275035514591349,-0.025626162293067488,-0.00021669435167159947,0.498746255845675,0.013895455247485543,0.013893154679579859
4,0.05,3,-1.0001239514472513,-0.5275309896871974,-0.02563149915350707,-0.0016275135688056516,0.4987322823458303,0.014028458913740043,0.014027715465633726
4,0.1,0,-1.001006892244056,-0.5600861525413733,-0.05251920179072241,-0.0021918190225705975,0.4949312078991904,0.045939862524904104,0.045939348727366956
4,0.1,1,-1.00101132513904,-0.5601168634975564,-0.05252309819910343,-0.0029576943123896336,0.4949164242363191,0.04605499854285195,0.04605192185127172
4,0.1,2,-1.0010297240512844,-0.5602497603674045,-0.05253903067958939,-0.006288517135333303,0.49485230729880747,0.046541237531548825,0.046539433785485786
4,0.1,3,-1.0010255225690217,-0.5602299704912737,-0.052536366610398726,-0.005816308012226152,0.49486143234554514,0.04647805532397675,0.04647012261582731
4,0.15000000000000002,0,-1.0033762434382738,-0.5976386142930905,-0.08070438902231336,-0.002306963046927321,0.4885405902200598,0.09031584990339335,0.09031986515050107
4,0.15000000000000002,1,-1.0033541270567001,-0.5975160002877693,-0.08070189444886275,-0.00016459109228933585,0.4885985400695245,0.0899466548386448,0.08994699313215458
4,0.15000000000000002,2,-1.003450905317214,-0.5979754915699897,-0.08071262019932353,-0.008029467877728918,0.4883854997946734,0.09132703581609324,0.09131567952370101
4,0.15000000000000002,3,-1.0035568352994657,-0.5983341634421724,-0.08072189668615248,-0.013821558627659483,0.4882284576599146,0.09231637612419169,0.09232094563538054
4,0.2,0,-1.007925774373934,-0.6402265409296217,-0.11033414369917377,-0.0025648487738408445,0.4793944335204186,0.14482469773720064,0.14482725768330185
4,0.2,1,-1.0083753827163087,-0.6413795574229385,-0.11022332117303911,-0.016919765902824006,0.4789336990809297,0.14738355090705477,0.14738637703312574
4,0.2,2,-1.008277972243748,-0.6411790779853193,-0.11023676093719559,-0.014633299049497651,0.47900808465394734,0.14697801872353544,0.14697422091379472
4,0.2,3,-1.0082738129813757,-0.6411723440248014,-0.1102383750059261,-0.014559003657491763,0.4790100382544431,0.1469652496352289,0.1469633911436255
4,0.25,0,-1.0152039333129728,-0.6877607557049634,-0.14178152692712964,-0.001202997155757458,0.46722765491948415,0.20811314750882914,0.2081099463029152
