step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
1140,34.199999999999996,-0.7697309348702264,-0.7478451649186659,0.340614495631802,-0.19465515461869307,0.6319693486635859
1160,34.8,-0.770405844605976,-0.7484659722978648,0.34076078731709575,-0.19458324830365595,0.6317227036838985
1180,35.4,-0.7709244641791444,-0.749064346666087,0.34031344068294334,-0.19497819861819476,0.6322508868623716
1200,36.0,-0.7713369590745743,-0.7496481835204057,0.3394423020487694,-0.19569185928784624,0.633245778238213
1220,36.6,-0.7716985807634142,-0.7502220986209513,0.33836901636653094,-0.19654602688346023,0.6343737684178552
1240,37.199999999999996,-0.7720601500727455,-0.7507873294287858,0.3373205742040902,-0.19736673762411047,0.635371721946763
1260,37.8,-0.7724616352556519,-0.7513422534291563,0.3364936745590041,-0.1980088359159676,0.6360757062742167
1280,38.4,-0.7729290284213532,-0.7518831996293373,0.3360334056715759,-0.19836919315332935,0.636392949711461
1300,39.0,-0.7734733550818473,-0.7524053285475355,0.33602094151360956,-0.1983925978102692,0.6362655734540841
1320,39.6,-0.7740908180590145,-0.7529035013335708,0.33646580926512715,-0.1980740605705158,0.6356644495671074
1340,40.199999999999996,-0.7747640611349229,-0.7533731242397909,0.33730486475361826,-0.19745753747797404,0.6346125453240958
1360,40.8,-0.7754651704200086,-0.7538109142913739,0.3384139982429039,-0.1966284185500865,0.633207176281969
1380,41.4,-0.7761606332285153,-0.7542154582021987,0.3396344812968681,-0.19569832663853093,0.6316130061283652
1400,42.0,-0.7768174168414841,-0.7545874311409188,0.340807197256044,-0.19478466519781948,0.6300239041201725
1420,42.6,-0.7774086030602307,-0.7549294323285032,0.341803114617351,-0.19399035642323237,0.6286149603620829
1440,43.199999999999996,-0.7779172019268815,-0.7552455130133406,0.3425411964998901,-0.19338895647639484,0.6275083051192932
1460,43.8,-0.7783375964660333,-0.7555405386103194,0.34299201575907956,-0.19301752981776135,0.626762000951583
1480,44.4,-0.7786748804819409,-0.7558195215690637,0.3431709665484563,-0.192876688728386,0.6263760894257163
1500,45.0,-0.7789427404176525,-0.7560870201525157,0.3431265233428851,-0.1929357262031195,0.626304868957737
1520,45.6,-0.779160529890304,-0.7563466611637618,0.34292752634493917,-0.19314081632666258,0.6264689520121652
1540,46.199999999999996,-0.7793500368841266,-0.7566008262840128,0.3426513067707479,-0.19342486679102086,0.6267670375424295
1560,46.8,-0.7795323425744534,-0.7568505315572103,0.34237321641833685,-0.19371793268960028,0.6270895257252046
1580,47.4,-0.7797251391359434,-0.7570955102675045,0.3421579786112559,-0.1939570039445152,0.6273338210034805
