step,time,operator_energy,energy_functional,M_beta,C_NN,S_VN_avg
1600,48.0,-1.0091015466474005,-0.9768244075667185,0.3448559943990177,-0.19255362721384414,0.6225624615758656
1620,48.6,-1.0092486875772357,-0.9768980674449533,0.3450918337431574,-0.1923999756742225,0.6219842045267742
1640,49.199999999999996,-1.0093922388449807,-0.9769696071383654,0.34532325823613225,-0.19224887375433078,0.6214175025639361
1660,49.8,-1.0095321294336053,-0.9770390530167671,0.3455497482566304,-0.192100596539733,0.6208635033775092
1680,50.4,-1.0096681258030138,-0.9771064528050348,0.34577010520804247,-0.19195610342565028,0.6203242234133877
1700,51.0,-1.0098000835178809,-0.9771718882562282,0.3459833927901567,-0.19181621119076966,0.6198010792969664
1720,51.6,-1.0099280975202594,-0.9772354581910863,0.34618958902350716,-0.19168101628591938,0.6192939249107291
1740,52.199999999999996,-1.0100524710082084,-0.977297250974778,0.3463895706695208,-0.19154990327828805,0.618801108805734
1760,52.8,-1.0101735486783094,-0.9773573279487988,0.3465845029194126,-0.19142203248496517,0.6183204837174917
1780,53.4,-1.0102915438659776,-0.9774157268765455,0.346775100459638,-0.1912968970068241,0.6178506930073611
1800,54.0,-1.0104064786010283,-0.9774724787858512,0.34696128809664345,-0.19117455495661184,0.617391829364189
1820,54.6,-1.0105182632400838,-0.9775276237969243,0.3471424628714363,-0.191055427883987,0.6169450031675136
1840,55.199999999999996,-1.0106268398215645,-0.9775812153143036,0.3473180973003867,-0.19093988015024418,0.6165112072222044
1860,55.8,-1.0107322774210807,-0.9776333124136842,0.3474881967455421,-0.1908279167422713,0.6160904007315827
1880,56.4,-1.010834758828027,-0.9776839685969085,0.34765329596428857,-0.1907191944612815,0.6156814852616267
1900,57.0,-1.0109344864937293,-0.9777332257619676,0.3478140705014067,-0.1906132797905528,0.6152830714491578
1920,57.599999999999994,-1.0110315897269448,-0.9777811164725495,0.3479709123580066,-0.19050992108871126,0.6148943411856419
1940,58.199999999999996,-1.0111260997888496,-0.9778276710626079,0.34812378547495,-0.19040913780460636,0.6145153487907433
1960,58.8,-1.0112179983047995,-0.9778729235896337,0.3482724151849486,-0.19031109999404702,0.6141466359040074
1980,59.4,-1.0113072904616316,-0.977916912883414,0.34841661256019646,-0.19021592658820216,0.6137885635307097
2000,60.0,-1.0113940456704777,-0.977959679191955,0.34855647324245753,-0.19012356268012173,0.6134409000980978
2020,60.599999999999994,-1.011478382715747,-0.9780012598184046,0.34869232996086913,-0.1900338071584368,0.6131029211334552
2040,61.199999999999996,-1.0115604209779596,-0.9780416870425549,0.34882454020569426,-0.18994644002679875,0.6127738552693663
2060,61.8,-1.0116402397810393,-0.9780809892846993,0.348953295984028,-0.18986133752147147,0.6124532847881409
2080,62.4,-1.011717873783438,-0.9781191939988984,0.3490785906991885,-0.18977849482517464,0.6121412127177738
2100,63.0,-1.0117933404963013,-0.9781563299195902,0.3492003360853426,-0.1896979595132677,0.6118378098924012
2120,63.599999999999994,-1.0118666733421886,-0.9781924272794855,0.34931851279915266,-0.18961974279379945,0.6115430921681289
2140,64.2,-1.0119379351002413,-0.9782275163517884,0.34943323724432557,-0.18954377732695593,0.6112567813678227
2160,64.8,-1.0120072061753438,-0.9782616257522875,0.3495447134891305,-0.18946994173606177,0.6109784151881614
2180,65.39999999999999,-1.0120745616598383,-0.9782947817595232,0.34965313021427097,-0.18939811930377673,0.6107075725230288
2200,66.0,-1.0121400562866714,-0.9783270089018253,0.3497585898964502,-0.1893282409831647,0.610444023512179
2220,66.6,-1.0122037264647163,-0.9783583311229682,0.3498611147407306,-0.1892602854057189,0.6101877103082937
2240,67.2,-1.0122656041683786,-0.978388772602242,0.3499607080647336,-0.18919424566465817,0.6099386094998005
2260,67.8,-1.0123257300174202,-0.9784183577612644,0.3500574141764344,-0.1891300942594961,0.6096966027993719
2280,68.39999999999999,-1.0123841562888596,-0.9784471106596209,0.3501513335744881,-0.18906777172509395,0.6094614487995758
2300,69.0,-1.0124409399705705,-0.9784750543546581,0.3502425924915231,-0.18900720161952309,0.6092328541491496
2320,69.6,-1.0124961331603202,-0.9785022106898131,0.3503312992991279,-0.18894831500570075,0.6090105699154633
2340,70.2,-1.0125497783847366,-0.9785286005694501,0.3504175225333442,-0.18889106464283714,0.6087944367925443
2360,70.8,-1.0126019111158655,-0.9785542444265032,0.3505013016103249,-0.18883542110555482,0.6085843574227413
2380,71.39999999999999,-1.0126525660179326,-0.9785791625241665,0.3505826748963993,-0.18878135786525793,0.6083802326241473
2400,72.0,-1.0127017815543478,-0.9786033749325166,0.35066170068354957,-0.18872883863795042,0.6081819165302452
2420,72.6,-1.0127496000259606,-0.978626901283535,0.35073845750980476,-0.18867781550535034,0.6079892191171599
2440,73.2,-1.012796064107827,-0.978649760536063,0.3508130285065844,-0.18862823654544045,0.6078019431823553
2460,73.8,-1.0128412132321387,-0.9786719709194943,0.35088548496512467,-0.18858005519923557,0.6076199205924012
2480,74.39999999999999,-1.012885082479733,-0.9786935500609463,0.3509558812548444,-0.18853323424477367,0.6074430214328983
2500,75.0,-1.0129277041942673,-0.9787145151727367,0.3510242620756878,-0.18848774284355507,0.6072711357476962
2520,75.6,-1.0129691105159973,-0.9787348831645145,0.3510906738416355,-0.18844355045030467,0.607104147655898
2540,76.2,-1.0130093348022249,-0.9787546706283341,0.3511551709754803,-0.18840062268721988,0.6069419224941713
2560,76.8,-1.0130484111954918,-0.9787738937446676,0.35121781381565964,-0.1883589216259535,0.6067843132006333
2580,77.39999999999999,-1.0130863731155315,-0.9787925682002893,0.35127866171930217,-0.18831840917068074,0.6066311766207799
2600,78.0,-1.0131232520380218,-0.9788107091789933,0.3513377675563188,-0.18827905034598894,0.6064823854013194
2620,78.6,-1.0131590773828,-0.9788283314210985,0.35139517726443575,-0.18824081415713625,0.6063378278092476
2640,79.2,-1.0131938773320421,-0.9788454493009794,0.3514509335616891,-0.18820367200585544,0.606197398489542
2660,79.8,-1.0132276797727708,-0.9788620768713961,0.35150508012065546,-0.1881675953923907,0.6060609890658596
2680,80.39999999999999,-1.0132605126679637,-0.9788782278583914,0.35155766309099096,-0.18813255470595056,0.6059284854309747
2700,81.0,-1.0132924037449311,-0.9788939156283547,0.3516087295543604,-0.18809851967335267,0.6057997720098306
2720,81.6,-1.0133233799085133,-0.9789091531627163,0.3516583248210902,-0.18806546071079022,0.6056747381199267
2740,82.2,-1.0133534668820277,-0.978923953061858,0.35170649083568534,-0.1880333499752023,0.6055532812299603
2760,82.8,-1.013382689288301,-0.9789383275744195,0.3517532665838119,-0.1880021614345936,0.6054353054689544
2780,83.39999999999999,-1.0134110710130495,-0.9789522886314888,0.35179868971976047,-0.18797187014869188,0.6053207176093941
2800,84.0,-1.0134386355298264,-0.9789658478665618,0.3518427979488088,-0.18794245146212604,0.6052094240345548
2820,84.6,-1.0134654059747472,-0.9789790166164196,0.3518856292485409,-0.18791388069221263,0.6051013306072993
2840,85.2,-1.0134914049926178,-0.978991805912246,0.3519272210857425,-0.18788613339146842,0.6049963447647823
2860,85.8,-1.0135166545344363,-0.979004226474704,0.35196760947114863,-0.1878591858371397,0.6048943777117379
2880,86.39999999999999,-1.0135411757746777,-0.9790162887205832,0.35200682859499177,-0.1878330153308377,0.6047953450486413
2900,87.0,-1.013564989187217,-0.9790280027787188,0.3520449111746779,-0.18780760013587297,0.604699165731836
2920,87.6,-1.0135881146947177,-0.9790393785069584,0.3520818890967618,-0.1877829191819166,0.6046057605052785
2940,88.2,-1.0136105717755568,-0.9790504255030787,0.35211779383061487,-0.18775895179670501,0.6045150510404073
2960,88.8,-1.013632379472813,-0.9790611531083331,0.35215265639183907,-0.18773567763619592,0.6044269601907368
2980,89.39999999999999,-1.0136535563343134,-0.9790715704075785,0.3521865070164609,-0.18771307679879445,0.6043414128523701
2999,89.97,-1.013673106436959,-0.9790811874666475,0.3522177543838782,-0.18769221208164968,0.604262432820813
3000,90.0,-1.013674120354306,-0.9790816862312621,0.3522193748733846,-0.18769112998363754,0.604258336610854
